Число узлов n = 201
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
| 0.18000 |      3.860458e-07      |      2.098922e+03      |      2.098935e+03      |
| 0.18500 |      3.856652e-07      |      2.156805e+03      |      2.156820e+03      |
| 0.19000 |      3.852743e-07      |      2.214618e+03      |      2.214634e+03      |
| 0.19500 |      3.848732e-07      |      2.272355e+03      |      2.272372e+03      |
| 0.20000 |      3.844619e-07      |      2.330008e+03      |      2.330026e+03      |
| 0.20500 |      3.840405e-07      |      2.387570e+03      |      2.387589e+03      |
| 0.21000 |      3.836090e-07      |      2.445033e+03      |      2.445053e+03      |
| 0.21500 |      3.831675e-07      |      2.502388e+03      |      2.502410e+03      |
| 0.22000 |      3.827159e-07      |      2.559628e+03      |      2.559652e+03      |
| 0.22500 |      3.822544e-07      |      2.616744e+03      |      2.616769e+03      |
| 0.23000 |      3.817829e-07      |      2.673725e+03      |      2.673752e+03      |
| 0.23500 |      3.813016e-07      |      2.730563e+03      |      2.730591e+03      |
| 0.24000 |      3.808105e-07      |      2.787247e+03      |      2.787276e+03      |
| 0.24500 |      3.803097e-07      |      2.843765e+03      |      2.843797e+03      |
| 0.25000 |      3.797991e-07      |      2.900108e+03      |      2.900141e+03      |
| 0.25500 |      3.792790e-07      |      2.956264e+03      |      2.956299e+03      |
| 0.26000 |      3.787493e-07      |      3.012220e+03      |      3.012257e+03      |
| 0.26500 |      3.782102e-07      |      3.067965e+03      |      3.068003e+03      |
| 0.27000 |      3.776617e-07      |      3.123484e+03      |      3.123525e+03      |
| 0.27500 |      3.771039e-07      |      3.178766e+03      |      3.178809e+03      |
| 0.28000 |      3.765369e-07      |      3.233796e+03      |      3.233842e+03      |
| 0.28500 |      3.759608e-07      |      3.288560e+03      |      3.288608e+03      |
| 0.29000 |      3.753757e-07      |      3.343044e+03      |      3.343094e+03      |
| 0.29500 |      3.747818e-07      |      3.397232e+03      |      3.397284e+03      |
| 0.30000 |      3.741790e-07      |      3.451108e+03      |      3.451163e+03      |
| 0.30500 |      3.735676e-07      |      3.504658e+03      |      3.504715e+03      |
| 0.31000 |      3.729477e-07      |      3.557863e+03      |      3.557924e+03      |
| 0.31500 |      3.723193e-07      |      3.610709e+03      |      3.610772e+03      |
| 0.32000 |      3.716827e-07      |      3.663176e+03      |      3.663242e+03      |
| 0.32500 |      3.710380e-07      |      3.715248e+03      |      3.715317e+03      |
| 0.33000 |      3.703853e-07      |      3.766906e+03      |      3.766978e+03      |
| 0.33500 |      3.697248e-07      |      3.818132e+03      |      3.818207e+03      |
| 0.34000 |      3.690566e-07      |      3.868907e+03      |      3.868985e+03      |
| 0.34500 |      3.683809e-07      |      3.919212e+03      |      3.919293e+03      |
| 0.35000 |      3.676978e-07      |      3.969027e+03      |      3.969111e+03      |
| 0.35500 |      3.670077e-07      |      4.018331e+03      |      4.018419e+03      |
| 0.36000 |      3.663105e-07      |      4.067105e+03      |      4.067197e+03      |
| 0.36500 |      3.656067e-07      |      4.115328e+03      |      4.115423e+03      |
| 0.37000 |      3.648962e-07      |      4.162979e+03      |      4.163078e+03      |
| 0.37500 |      3.641794e-07      |      4.210037e+03      |      4.210139e+03      |
| 0.38000 |      3.634564e-07      |      4.256479e+03      |      4.256585e+03      |
| 0.38500 |      3.627276e-07      |      4.302285e+03      |      4.302395e+03      |
| 0.39000 |      3.619930e-07      |      4.347432e+03      |      4.347546e+03      |
| 0.39500 |      3.612529e-07      |      4.391898e+03      |      4.392015e+03      |
| 0.40000 |      3.605077e-07      |      4.435660e+03      |      4.435782e+03      |
| 0.40500 |      3.597575e-07      |      4.478697e+03      |      4.478822e+03      |
| 0.41000 |      3.590025e-07      |      4.520984e+03      |      4.521114e+03      |
| 0.41500 |      3.582431e-07      |      4.562500e+03      |      4.562634e+03      |
| 0.42000 |      3.574795e-07      |      4.603222e+03      |      4.603360e+03      |
| 0.42500 |      3.567120e-07      |      4.643126e+03      |      4.643269e+03      |
| 0.43000 |      3.559409e-07      |      4.682190e+03      |      4.682337e+03      |
| 0.43500 |      3.551664e-07      |      4.720392e+03      |      4.720543e+03      |
| 0.44000 |      3.543889e-07      |      4.757707e+03      |      4.757863e+03      |
| 0.44500 |      3.536086e-07      |      4.794115e+03      |      4.794275e+03      |
| 0.45000 |      3.528259e-07      |      4.829591e+03      |      4.829756e+03      |
| 0.45500 |      3.520410e-07      |      4.864115e+03      |      4.864285e+03      |
| 0.46000 |      3.512543e-07      |      4.897664e+03      |      4.897838e+03      |
| 0.46500 |      3.504661e-07      |      4.930216e+03      |      4.930395e+03      |
| 0.47000 |      3.496768e-07      |      4.961750e+03      |      4.961934e+03      |
| 0.47500 |      3.488866e-07      |      4.992245e+03      |      4.992434e+03      |
| 0.48000 |      3.480958e-07      |      5.021681e+03      |      5.021874e+03      |
| 0.48500 |      3.473050e-07      |      5.050036e+03      |      5.050235e+03      |
| 0.49000 |      3.465143e-07      |      5.077293e+03      |      5.077497e+03      |
| 0.49500 |      3.457241e-07      |      5.103432e+03      |      5.103640e+03      |
| 0.50000 |      3.449348e-07      |      5.133412e+03      |      5.128647e+03      |
| 0.50500 |      3.441452e-07      |      5.163465e+03      |      5.152500e+03      |
| 0.51000 |      3.433568e-07      |      5.188562e+03      |      5.175183e+03      |
| 0.51500 |      3.425700e-07      |      5.212516e+03      |      5.196678e+03      |
| 0.52000 |      3.417851e-07      |      5.235313e+03      |      5.216971e+03      |
| 0.52500 |      3.410025e-07      |      5.256937e+03      |      5.236048e+03      |
| 0.53000 |      3.402226e-07      |      5.277375e+03      |      5.253895e+03      |
| 0.53500 |      3.394456e-07      |      5.296612e+03      |      5.270499e+03      |
| 0.54000 |      3.386721e-07      |      5.314636e+03      |      5.285850e+03      |
| 0.54500 |      3.379023e-07      |      5.331437e+03      |      5.299938e+03      |
| 0.55000 |      3.371365e-07      |      5.347004e+03      |      5.312753e+03      |
| 0.55500 |      3.363753e-07      |      5.361329e+03      |      5.324287e+03      |
| 0.56000 |      3.356188e-07      |      5.374403e+03      |      5.334535e+03      |
| 0.56500 |      3.348674e-07      |      5.386221e+03      |      5.343490e+03      |
| 0.57000 |      3.341216e-07      |      5.396776e+03      |      5.351150e+03      |
| 0.57500 |      3.333816e-07      |      5.406067e+03      |      5.357512e+03      |
| 0.58000 |      3.326478e-07      |      5.414090e+03      |      5.362575e+03      |
| 0.58500 |      3.319205e-07      |      5.420844e+03      |      5.366339e+03      |
| 0.59000 |      3.312001e-07      |      5.426331e+03      |      5.368807e+03      |
| 0.59500 |      3.304869e-07      |      5.430553e+03      |      5.369983e+03      |
| 0.60000 |      3.297812e-07      |      5.433513e+03      |      5.369872e+03      |
| 0.60500 |      3.290832e-07      |      5.435217e+03      |      5.368481e+03      |
| 0.61000 |      3.283935e-07      |      5.435673e+03      |      5.365819e+03      |
| 0.61500 |      3.277121e-07      |      5.434888e+03      |      5.361896e+03      |
| 0.62000 |      3.270394e-07      |      5.432875e+03      |      5.356724e+03      |
| 0.62500 |      3.263758e-07      |      5.429646e+03      |      5.350318e+03      |
| 0.63000 |      3.257214e-07      |      5.425214e+03      |      5.342693e+03      |
| 0.63500 |      3.250765e-07      |      5.419596e+03      |      5.333866e+03      |
| 0.64000 |      3.244414e-07      |      5.412809e+03      |      5.323856e+03      |
| 0.64500 |      3.238163e-07      |      5.404873e+03      |      5.312685e+03      |
| 0.65000 |      3.232015e-07      |      5.395811e+03      |      5.300375e+03      |
| 0.65500 |      3.225971e-07      |      5.385643e+03      |      5.286950e+03      |
| 0.66000 |      3.220034e-07      |      5.374397e+03      |      5.272437e+03      |
| 0.66500 |      3.214206e-07      |      5.362099e+03      |      5.256863e+03      |
| 0.67000 |      3.208487e-07      |      5.348777e+03      |      5.240257e+03      |
| 0.67500 |      3.202882e-07      |      5.334461e+03      |      5.222651e+03      |
| 0.68000 |      3.197389e-07      |      5.319184e+03      |      5.204077e+03      |
| 0.68500 |      3.192012e-07      |      5.302979e+03      |      5.184568e+03      |
| 0.69000 |      3.186751e-07      |      5.285882e+03      |      5.164161e+03      |
| 0.69500 |      3.181607e-07      |      5.267929e+03      |      5.142892e+03      |
| 0.70000 |      3.176582e-07      |      5.249158e+03      |      5.120798e+03      |
| 0.70500 |      3.171677e-07      |      5.229610e+03      |      5.097920e+03      |
| 0.71000 |      3.166891e-07      |      5.209325e+03      |      5.074296e+03      |
| 0.71500 |      3.162226e-07      |      5.188345e+03      |      5.049969e+03      |
| 0.72000 |      3.157682e-07      |      5.166715e+03      |      5.024980e+03      |
| 0.72500 |      3.153260e-07      |      5.144478e+03      |      4.999372e+03      |
| 0.73000 |      3.148958e-07      |      5.121680e+03      |      4.973189e+03      |
| 0.73500 |      3.144779e-07      |      5.098368e+03      |      4.946474e+03      |
| 0.74000 |      3.140721e-07      |      5.074589e+03      |      4.919272e+03      |
| 0.74500 |      3.136784e-07      |      5.050390e+03      |      4.891627e+03      |
| 0.75000 |      3.132968e-07      |      5.025821e+03      |      4.863584e+03      |
| 0.75500 |      3.129272e-07      |      5.000929e+03      |      4.835188e+03      |
| 0.76000 |      3.125696e-07      |      4.975764e+03      |      4.806483e+03      |
| 0.76500 |      3.122239e-07      |      4.950376e+03      |      4.777513e+03      |
| 0.77000 |      3.118900e-07      |      4.924813e+03      |      4.748322e+03      |
| 0.77500 |      3.115679e-07      |      4.899125e+03      |      4.718952e+03      |
| 0.78000 |      3.112573e-07      |      4.873362e+03      |      4.689446e+03      |
| 0.78500 |      3.109582e-07      |      4.847572e+03      |      4.659846e+03      |
| 0.79000 |      3.106704e-07      |      4.821803e+03      |      4.630190e+03      |
| 0.79500 |      3.103938e-07      |      4.796104e+03      |      4.600518e+03      |
| 0.80000 |      3.101283e-07      |      4.770521e+03      |      4.570868e+03      |
| 0.80500 |      3.098738e-07      |      4.745103e+03      |      4.541276e+03      |
| 0.81000 |      3.096299e-07      |      4.719894e+03      |      4.511776e+03      |
| 0.81500 |      3.093966e-07      |      4.694940e+03      |      4.482400e+03      |
| 0.82000 |      3.091736e-07      |      4.670286e+03      |      4.453179e+03      |
| 0.82500 |      3.089608e-07      |      4.645975e+03      |      4.424143e+03      |
| 0.83000 |      3.087580e-07      |      4.622049e+03      |      4.395319e+03      |
| 0.83500 |      3.085650e-07      |      4.598552e+03      |      4.366730e+03      |
| 0.84000 |      3.083815e-07      |      4.575523e+03      |      4.338400e+03      |
| 0.84500 |      3.082074e-07      |      4.553005e+03      |      4.310349e+03      |
| 0.85000 |      3.080424e-07      |      4.531036e+03      |      4.282595e+03      |
| 0.85500 |      3.078863e-07      |      4.509658e+03      |      4.255155e+03      |
| 0.86000 |      3.077389e-07      |      4.488909e+03      |      4.228043e+03      |
| 0.86500 |      3.075999e-07      |      4.468831e+03      |      4.201269e+03      |
| 0.87000 |      3.074690e-07      |      4.449464e+03      |      4.174845e+03      |
| 0.87500 |      3.073462e-07      |      4.430851e+03      |      4.148777e+03      |
| 0.88000 |      3.072310e-07      |      4.413033e+03      |      4.123071e+03      |
| 0.88500 |      3.071232e-07      |      4.396059e+03      |      4.097731e+03      |
| 0.89000 |      3.070227e-07      |      4.379975e+03      |      4.072759e+03      |
| 0.89500 |      3.069291e-07      |      4.364834e+03      |      4.048156e+03      |
| 0.90000 |      3.068422e-07      |      4.350694e+03      |      4.023920e+03      |
| 0.90500 |      3.067617e-07      |      4.337618e+03      |      4.000050e+03      |
| 0.91000 |      3.066874e-07      |      4.325675e+03      |      3.976540e+03      |
| 0.91500 |      3.066190e-07      |      4.314947e+03      |      3.953387e+03      |
| 0.92000 |      3.065562e-07      |      4.305524e+03      |      3.930586e+03      |
| 0.92500 |      3.064988e-07      |      4.297512e+03      |      3.908128e+03      |
| 0.93000 |      3.064465e-07      |      4.291031e+03      |      3.886009e+03      |
| 0.93500 |      3.063991e-07      |      4.286225e+03      |      3.864219e+03      |
| 0.94000 |      3.063563e-07      |      4.283262e+03      |      3.842750e+03      |
| 0.94500 |      3.063178e-07      |      4.282343e+03      |      3.821595e+03      |
| 0.95000 |      3.062834e-07      |      4.283706e+03      |      3.800745e+03      |
| 0.95500 |      3.062528e-07      |      4.287643e+03      |      3.780191e+03      |
| 0.96000 |      3.062258e-07      |      4.294505e+03      |      3.759925e+03      |
| 0.96500 |      3.062021e-07      |      4.304727e+03      |      3.739937e+03      |
| 0.97000 |      3.061815e-07      |      4.318848e+03      |      3.720219e+03      |
| 0.97500 |      3.061636e-07      |      4.337546e+03      |      3.700762e+03      |
| 0.98000 |      3.061484e-07      |      4.361684e+03      |      3.681558e+03      |
| 0.98500 |      3.061354e-07      |      4.392377e+03      |      3.662598e+03      |
| 0.99000 |      3.061246e-07      |      4.431091e+03      |      3.643875e+03      |
| 0.99500 |      3.061157e-07      |      4.479789e+03      |      3.625379e+03      |
| 1.00000 |      3.061085e-07      |      4.468943e+03      |      3.607104e+03      |
--------------------------------------------------------------------------------------
