Число узлов n = 101
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
| 0.80000 |      2.157676e-07      |      4.866053e+03      |      4.863394e+03      |
| 0.81000 |      2.152598e-07      |      4.806769e+03      |      4.803662e+03      |
| 0.82000 |      2.147957e-07      |      4.747874e+03      |      4.744257e+03      |
| 0.83000 |      2.143738e-07      |      4.689626e+03      |      4.685421e+03      |
| 0.84000 |      2.139925e-07      |      4.632251e+03      |      4.627366e+03      |
| 0.85000 |      2.136498e-07      |      4.575949e+03      |      4.570270e+03      |
| 0.86000 |      2.133439e-07      |      4.520890e+03      |      4.514277e+03      |
| 0.87000 |      2.130728e-07      |      4.467217e+03      |      4.459497e+03      |
| 0.88000 |      2.128345e-07      |      4.415052e+03      |      4.406007e+03      |
| 0.89000 |      2.126268e-07      |      4.364499e+03      |      4.353855e+03      |
| 0.90000 |      2.124475e-07      |      4.315657e+03      |      4.303061e+03      |
| 0.91000 |      2.122946e-07      |      4.268625e+03      |      4.253620e+03      |
| 0.92000 |      2.121658e-07      |      4.223528e+03      |      4.205511e+03      |
| 0.93000 |      2.120589e-07      |      4.180535e+03      |      4.158696e+03      |
| 0.94000 |      2.119716e-07      |      4.139897e+03      |      4.113130e+03      |
| 0.95000 |      2.119018e-07      |      4.102011e+03      |      4.068758e+03      |
| 0.96000 |      2.118471e-07      |      4.067515e+03      |      4.025523e+03      |
| 0.97000 |      2.118057e-07      |      4.037474e+03      |      3.983368e+03      |
| 0.98000 |      2.117752e-07      |      4.013737e+03      |      3.942236e+03      |
| 0.99000 |      2.117538e-07      |      3.999695e+03      |      3.902071e+03      |
| 1.00000 |      2.117396e-07      |      3.701022e+03      |      3.862819e+03      |
--------------------------------------------------------------------------------------
